Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3531,2022,209,1,2/16/2023  ,2/15/2023     ,14,None            ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Quelqueshoe                                  
G      ,3701,2023,209,1,12/28/2023 ,12/27/2023    ,8,None            ,0.00                          ,"1,000.00                        ",0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quelqueshoe                                  
G      ,3268,2021,209,1,1/12/2022  ,1/12/2022     ,7,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quelqueshoe                                  
G      ,2960,2020,209,1,12/31/2020 ,12/30/2020    ,16,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quelqueshoe                                  
G      ,1517,2019,209,1,12/3/2019  ,12/2/2019     ,23,Thriving        ,"5,000.00                    ","2,000.00                        ",0.00                        ,"1,000.00            ",72.0,30.0,48.0,20.0,16.0,76.0,0.0,2.0,46.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,20.0,2.0,24.0,30.0,5000.0,1,Quelqueshoe                                  
G      ,2921,2020,211,1,12/27/2020 ,12/27/2020    ,5,None            ,"10,000.00                   ",0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quinipissa                                   
G      ,3294,2022,211,1,12/4/2022  ,12/3/2022     ,22,High Performing ,0.00                          ,0.00                              ,"5,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quinipissa                                   
G      ,3226,2021,211,1,12/30/2021 ,12/29/2021    ,13,None            ,"1,960.00                    ",0.00                              ,"1,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Quinipissa                                   
G      ,3733,2023,211,1,12/30/2023 ,12/29/2023    ,24,High Performing ,0.00                          ,"3,724.19                        ",0.00                        ,"2,187.10            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Quinipissa                                   
G      ,2745,2019,211,1,1/20/2020  ,1/17/2020     ,7,None            ,0.00                          ,750.00                            ,"2,300.00                  ",800.00                ,63.0,6.0,32.0,27.0,11.0,35.0,1.0,5.0,44.0,40.0,7.0,18.0,6.0,1.0,2.0,57.0,9.0,0.0,0.0,98.0,18.0,0.0,40.0,3.0,1064.0,1,Quinipissa                                   
G      ,3519,2022,212,1,1/8/2023   ,1/7/2023      ,18,Thriving        ,812.00                        ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Atchafalaya                                  
G      ,2702,2019,212,1,1/1/2020   ,12/31/2019    ,18,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"3,000.00            ",32.0,3.0,8.0,14.0,1.0,17.0,0.0,6.0,22.0,27.0,4.0,8.0,5.0,0.0,0.0,46.0,6.0,0.0,0.0,32.0,8.0,4.0,8.0,25.0,1946.0,1,Atchafalaya                                  
G      ,3158,2021,212,1,12/21/2021 ,12/20/2021    ,21,Thriving        ,0.00                          ,0.00                              ,0.00                        ,861.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Atchafalaya                                  
G      ,3663,2023,212,1,12/22/2023 ,12/21/2023    ,10,None            ,500.00                        ,"1,500.00                        ",0.00                        ,567.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Atchafalaya                                  
G      ,3001,2020,212,1,1/4/2021   ,1/3/2021      ,5,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,1,Atchafalaya                                  
G      ,3408,2022,213,1,12/22/2022 ,12/21/2022    ,19,Thriving        ,0.00                          ,"4,278.00                        ",0.00                        ,"1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Comanche                                     
G      ,3702,2023,213,1,12/28/2023 ,12/27/2023    ,23,High Performing ,0.00                          ,"4,200.00                        ",0.00                        ,"1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Comanche                                     
G      ,3089,2021,213,1,12/14/2021 ,12/13/2021    ,22,High Performing ,0.00                          ,"2,044.91                        ","1,000.00                  ","1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Comanche                                     
G      ,2824,2020,213,1,12/16/2020 ,12/15/2020    ,22,High Performing ,0.00                          ,"3,000.00                        ",750.00                      ,"1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Comanche                                     
G      ,2725,2019,213,2,1/4/2020   ,1/3/2020      ,24,High Performing ,0.00                          ,"10,000.00                       ",0.00                        ,"1,400.00            ",41.0,12.0,21.0,23.0,12.0,27.0,0.0,2.0,29.0,39.0,9.0,16.0,6.0,1.0,1.0,34.0,4.0,7.0,0.0,38.0,34.0,24.0,34.0,12.0,3024.0,1,Comanche                                     
G      ,3146,2021,214,1,12/20/2021 ,12/19/2021    ,18,Thriving        ,0.00                          ,"1,000.00                        ",0.00                        ,"2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,1,Chilantakoba                                 
