Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,1531,2019,564,1,12/9/2019  ,12/8/2019     ,7,None            ,"5,000.00                    ","8,000.00                        ","2,000.00                  ","3,000.00            ",536.0,99.0,260.0,221.0,79.0,284.0,9.0,20.0,162.0,260.0,62.0,114.0,56.0,8.0,8.0,373.0,91.0,10.0,3.0,231.0,79.0,40.0,80.0,25.0,7436.0,2,Tonkawa                                      
G      ,2798,2020,564,1,12/12/2020 ,12/11/2020    ,11,None            ,"10,000.00                   ","5,300.00                        ","2,000.00                  ","3,500.00            ",437.0,80.0,210.0,174.0,68.0,250.0,2.0,18.0,126.0,179.0,33.0,41.0,19.0,0.0,0.0,338.0,76.0,71.0,25.0,185.0,168.0,28.0,168.0,42.0,4296.0,2,Tonkawa                                      
G      ,3081,2021,564,1,12/12/2021 ,12/12/2021    ,14,Thriving        ,"22,000.00                   ","5,000.00                        ","3,000.00                  ","3,500.00            ",462.0,128.0,231.0,165.0,91.0,273.0,5.0,14.0,147.0,209.0,68.0,66.0,28.0,7.0,4.0,244.0,69.0,102.0,27.0,173.0,95.0,25.0,95.0,24.0,5030.0,2,Tonkawa                                      
G      ,3587,2023,564,1,12/12/2023 ,12/12/2023    ,10,None            ,0.00                          ,"12,000.00                       ","2,000.00                  ","3,500.00            ",312.0,79.0,167.0,177.0,65.0,268.0,3.0,20.0,153.0,164.0,40.0,98.0,36.0,8.0,9.0,335.0,72.0,76.0,33.0,161.0,127.0,10.0,127.0,50.0,4169.0,2,Tonkawa                                      
G      ,3324,2022,564,1,12/13/2022 ,12/12/2022    ,14,Thriving        ,"10,000.00                   ","8,500.00                        ","2,000.00                  ","3,500.00            ",393.0,86.0,191.0,144.0,83.0,259.0,9.0,15.0,168.0,202.0,61.0,65.0,31.0,8.0,8.0,280.0,94.0,26.0,2.0,160.0,147.0,12.0,147.0,68.0,6571.0,2,Tonkawa                                      
G      ,3530,2022,567,1,2/14/2023  ,2/13/2023     ,6,None            ,0.00                          ,0.00                              ,0.00                        ,"2,500.00            ",6.0,3.0,10.0,7.0,6.0,14.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,4.0,0.0,0.0,23.0,3.0,0.0,3.0,0.0,0.0,2,Tatanka                                      
G      ,3784,2023,567,1,2/3/2024   ,2/2/2024      ,6,None            ,0.00                          ,0.00                              ,0.00                        ,"5,000.00            ",8.0,1.0,0.0,7.0,6.0,7.0,0.0,0.0,15.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,2,Tatanka                                      
G      ,3020,2021,567,1,11/8/2021  ,11/7/2021     ,5,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,10.0,3.0,10.0,10.0,3.0,15.0,0.0,1.0,16.0,5.0,0.0,2.0,0.0,0.0,0.0,9.0,1.0,3.0,2.0,24.0,2.0,0.0,2.0,0.0,300.0,2,Tatanka                                      
G      ,3005,2020,567,1,1/6/2021   ,1/5/2021      ,3,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,34.0,3.0,20.0,14.0,3.0,16.0,0.0,2.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,10.0,150.0,2,Tatanka                                      
G      ,2737,2019,567,1,1/9/2020   ,1/8/2020      ,18,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"6,000.00            ",51.0,5.0,25.0,21.0,4.0,22.0,0.0,1.0,24.0,14.0,6.0,6.0,2.0,0.0,2.0,12.0,3.0,0.0,0.0,38.0,0.0,0.0,0.0,3.0,0.0,2,Tatanka                                      
G      ,3707,2023,574,1,12/28/2023 ,12/28/2023    ,18,Thriving        ,"2,000.00                    ","2,250.00                        ",0.00                        ,0.00                  ,54.0,8.0,17.0,16.0,5.0,41.0,0.0,2.0,22.0,30.0,4.0,13.0,3.0,0.0,0.0,47.0,3.0,3.0,2.0,46.0,33.0,8.0,41.0,18.0,2254.0,2,Wihinipa Hinsa                               
G      ,3453,2022,574,1,12/28/2022 ,12/28/2022    ,16,Thriving        ,0.00                          ,"3,000.00                        ","2,000.00                  ","2,000.00            ",70.0,8.0,26.0,9.0,4.0,45.0,0.0,5.0,21.0,49.0,6.0,7.0,3.0,2.0,0.0,74.0,7.0,2.0,2.0,46.0,26.0,6.0,34.0,11.0,1890.0,2,Wihinipa Hinsa                               
G      ,2709,2019,574,1,1/1/2020   ,1/1/2020      ,7,None            ,"1,500.00                    ",0.00                              ,0.00                        ,0.00                  ,101.0,12.0,41.0,21.0,6.0,62.0,2.0,2.0,30.0,59.0,13.0,7.0,6.0,3.0,2.0,103.0,13.0,0.0,0.0,65.0,52.0,32.0,0.0,7.0,1609.0,2,Wihinipa Hinsa                               
G      ,2951,2020,574,1,12/30/2020 ,12/29/2020    ,10,None            ,"2,000.00                    ",0.00                              ,0.00                        ,0.00                  ,70.0,4.0,30.0,15.0,9.0,56.0,0.0,2.0,21.0,37.0,5.0,4.0,0.0,0.0,0.0,87.0,9.0,48.0,9.0,49.0,45.0,38.0,0.0,10.0,377.0,2,Wihinipa Hinsa                               
G      ,3270,2021,574,1,1/12/2022  ,1/12/2022     ,17,Thriving        ,0.00                          ,"5,200.00                        ",0.00                        ,0.00                  ,68.0,13.0,31.0,9.0,9.0,50.0,1.0,4.0,25.0,31.0,7.0,5.0,6.0,3.0,6.0,54.0,15.0,0.0,0.0,50.0,12.0,18.0,17.0,9.0,2150.0,2,Wihinipa Hinsa                               
G      ,2710,2019,576,1,1/1/2020   ,12/31/2019    ,9,None            ,0.00                          ,"16,000.00                       ","4,000.00                  ",0.00                  ,883.0,134.0,378.0,343.0,119.0,453.0,14.0,16.0,228.0,650.0,146.0,168.0,36.0,15.0,14.0,1203.0,235.0,0.0,0.0,540.0,270.0,0.0,300.0,69.0,21000.0,2,Colonneh                                     
