Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3593,2023,117,1,12/14/2023 ,12/13/2023    ,24,High Performing ,450.00                        ,"1,875.00                        ","1,000.00                  ","1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Illini                                       
G      ,2979,2020,117,1,1/1/2021   ,12/31/2020    ,11,None            ,0.00                          ,0.00                              ,"1,000.00                  ","1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Illini                                       
G      ,3029,2021,117,1,11/24/2021 ,11/23/2021    ,20,Thriving        ,0.00                          ,675.00                            ,"1,000.00                  ","1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Illini                                       
G      ,3304,2022,117,1,12/9/2022  ,12/8/2022     ,16,Thriving        ,750.00                        ,500.00                            ,"1,000.00                  ","1,200.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Illini                                       
G      ,2700,2019,117,1,1/1/2020   ,12/31/2019    ,18,Thriving        ,0.00                          ,"3,000.00                        ","1,000.00                  ","1,200.00            ",57.0,9.0,18.0,36.0,14.0,35.0,0.0,8.0,56.0,40.0,5.0,13.0,1.0,2.0,3.0,41.0,6.0,0.0,0.0,59.0,45.0,2.0,59.0,17.0,1233.0,7,Illini                                       
G      ,2820,2020,121,1,12/16/2020 ,12/15/2020    ,10,None            ,"1,000.00                    ",0.00                              ,0.00                        ,"2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Woapink                                      
G      ,3032,2021,121,1,11/30/2021 ,11/29/2021    ,19,Thriving        ,0.00                          ,"2,306.00                        ",0.00                        ,"2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Woapink                                      
G      ,3285,2022,121,1,11/29/2022 ,11/28/2022    ,18,Thriving        ,"5,000.00                    ",0.00                              ,"1,000.00                  ","2,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Woapink                                      
G      ,1507,2019,121,1,11/4/2019  ,11/3/2019     ,16,Thriving        ,0.00                          ,"4,500.00                        ",0.00                        ,"1,000.00            ",75.0,11.0,17.0,54.0,18.0,68.0,4.0,7.0,65.0,57.0,5.0,13.0,3.0,4.0,3.0,54.0,7.0,0.0,0.0,32.0,22.0,10.0,22.0,12.0,1200.0,7,Woapink                                      
G      ,3582,2023,121,1,12/12/2023 ,12/11/2023    ,17,Thriving        ,"2,700.00                    ","3,605.77                        ","1,000.00                  ","2,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Woapink                                      
G      ,2805,2020,141,1,12/14/2020 ,12/14/2020    ,7,None            ,0.00                          ,0.00                              ,0.00                        ,"1,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Black Hawk                                   
G      ,3464,2022,141,1,12/29/2022 ,12/28/2022    ,15,None            ,600.00                        ,0.00                              ,0.00                        ,"1,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Black Hawk                                   
G      ,3633,2023,141,1,12/20/2023 ,12/19/2023    ,22,High Performing ,"3,400.00                    ",0.00                              ,0.00                        ,"1,500.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Black Hawk                                   
G      ,2577,2019,141,1,12/19/2019 ,12/19/2019    ,13,None            ,"1,000.00                    ",0.00                              ,0.00                        ,"1,500.00            ",40.0,3.0,11.0,57.0,10.0,36.0,1.0,10.0,52.0,30.0,5.0,28.0,6.0,3.0,2.0,64.0,7.0,0.0,0.0,53.0,44.0,15.0,44.0,5.0,6640.0,7,Black Hawk                                   
G      ,3180,2021,141,1,12/23/2021 ,12/22/2021    ,23,High Performing ,0.00                          ,0.00                              ,0.00                        ,"2,300.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,7,Black Hawk                                   
G      ,3607,2023,144,1,12/16/2023 ,12/15/2023    ,18,Thriving        ,0.00                          ,0.00                              ,0.00                        ,500.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,7,Illinek                                      
G      ,3170,2021,144,1,12/22/2021 ,12/21/2021    ,9,None            ,0.00                          ,245.62                            ,0.00                        ,600.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,7,Illinek                                      
G      ,3444,2022,144,1,12/28/2022 ,12/28/2022    ,17,Thriving        ,0.00                          ,160.00                            ,0.00                        ,500.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,7,Illinek                                      
