Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3283,2022,62,1,11/28/2022 ,11/28/2022    ,6,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Kola                                         
G      ,2763,2020,62,1,12/2/2020  ,12/2/2020     ,6,None            ,"1,250.00                    ",0.00                              ,"2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Kola                                         
G      ,3025,2021,62,1,11/20/2021 ,11/19/2021    ,16,Thriving        ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Kola                                         
G      ,3538,2023,62,1,11/11/2023 ,11/10/2023    ,10,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Kola                                         
G      ,1510,2019,62,1,11/14/2019 ,11/13/2019    ,7,None            ,"1,600.00                    ","2,500.00                        ","2,000.00                  ",0.00                  ,92.0,7.0,31.0,19.0,7.0,38.0,0.0,6.0,52.0,77.0,10.0,7.0,7.0,4.0,3.0,116.0,17.0,0.0,0.0,167.0,41.0,0.0,42.0,7.0,1800.0,12N,Kola                                         
G      ,1536,2019,315,1,12/10/2019 ,12/9/2019     ,16,Thriving        ,"2,500.00                    ","3,000.00                        ",0.00                        ,"1,000.00            ",54.0,4.0,26.0,21.0,15.0,43.0,1.0,2.0,30.0,45.0,6.0,6.0,6.0,2.0,2.0,45.0,6.0,0.0,0.0,180.0,85.0,20.0,40.0,10.0,3036.0,12N,Apoxky Aio                                   
G      ,3436,2022,315,1,12/27/2022 ,12/26/2022    ,14,Thriving        ,650.00                        ,"2,500.00                        ",0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,12N,Apoxky Aio                                   
G      ,2908,2020,315,1,12/24/2020 ,12/23/2020    ,12,None            ,"1,500.00                    ","1,500.00                        ",0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,12N,Apoxky Aio                                   
G      ,3074,2021,315,1,12/11/2021 ,12/10/2021    ,18,Thriving        ,"2,000.00                    ","1,000.00                        ",0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,12N,Apoxky Aio                                   
G      ,3596,2023,315,1,12/14/2023 ,12/14/2023    ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"1,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,12N,Apoxky Aio                                   
G      ,3551,2023,695,1,11/29/2023 ,11/29/2023    ,21,Thriving        ,0.00                          ,"20,000.00                       ",0.00                        ,"2,000.00            ",,,,,,,,,,,,,,,,,,,,,,,,,,12N,Crazy Horse                                  
G      ,2539,2019,695,1,12/15/2019 ,12/15/2019    ,24,High Performing ,450.00                        ,0.00                              ,0.00                        ,550.00                ,19.0,4.0,9.0,8.0,7.0,13.0,0.0,0.0,11.0,12.0,0.0,3.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,30.0,30.0,5.0,30.0,6.0,567.0,12N,Crazy Horse                                  
G      ,2880,2020,695,1,12/21/2020 ,12/20/2020    ,17,Thriving        ,0.00                          ,"1,000.00                        ",0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Crazy Horse                                  
G      ,3087,2021,695,1,12/13/2021 ,12/12/2021    ,25,High Performing ,0.00                          ,0.00                              ,0.00                        ,525.00                ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Crazy Horse                                  
G      ,3312,2022,695,1,12/10/2022 ,12/10/2022    ,24,High Performing ,0.00                          ,250.00                            ,0.00                        ,0.00                  ,,,,,,,,,,,,,,,,,,,,,,,,,,12N,Crazy Horse                                  
