Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,2760,2020,60,1,12/1/2020  ,11/30/2020    ,3,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,108.0,11.0,23.0,36.0,16.0,74.0,3.0,6.0,45.0,31.0,7.0,6.0,3.0,2.0,2.0,74.0,11.0,27.0,0.0,66.0,29.0,7.0,22.0,13.0,373.0,12S,Buffalo Mountain                             
G      ,3027,2021,60,1,11/22/2021 ,11/21/2021    ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,96.0,10.0,23.0,57.0,14.0,79.0,2.0,8.0,46.0,71.0,11.0,33.0,11.0,4.0,3.0,81.0,12.0,0.0,0.0,62.0,42.0,13.0,30.0,17.0,2005.0,12S,Buffalo Mountain                             
G      ,3296,2022,60,1,12/5/2022  ,12/4/2022     ,17,Thriving        ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,105.0,7.0,19.0,55.0,13.0,62.0,2.0,9.0,50.0,66.0,8.0,27.0,5.0,3.0,3.0,59.0,9.0,0.0,0.0,80.0,21.0,2.0,20.0,15.0,1736.0,12S,Buffalo Mountain                             
G      ,1513,2019,60,1,11/19/2019 ,11/19/2019    ,12,None            ,"2,000.00                    ",0.00                              ,0.00                        ,0.00                  ,189.0,8.0,33.0,82.0,18.0,104.0,3.0,9.0,61.0,98.0,14.0,49.0,11.0,3.0,3.0,123.0,17.0,3.0,0.0,113.0,53.0,17.0,36.0,28.0,2932.0,12S,Buffalo Mountain                             
G      ,3623,2023,60,1,12/19/2023 ,12/18/2023    ,21,Thriving        ,"4,000.00                    ",0.00                              ,0.00                        ,0.00                  ,102.0,15.0,21.0,71.0,16.0,75.0,1.0,9.0,58.0,77.0,9.0,41.0,10.0,3.0,3.0,110.0,10.0,0.0,0.0,75.0,64.0,19.0,45.0,25.0,2103.0,12S,Buffalo Mountain                             
G      ,3204,2021,61,1,12/28/2021 ,12/28/2021    ,7,None            ,0.00                          ,0.00                              ,"1,000.00                  ","4,600.00            ",225.0,42.0,95.0,87.0,33.0,166.0,1.0,14.0,136.0,138.0,24.0,32.0,14.0,7.0,9.0,175.0,38.0,63.0,18.0,206.0,101.0,22.0,81.0,26.0,3014.0,12S,Tahosa                                       
G      ,2533,2019,61,1,12/15/2019 ,12/15/2019    ,13,None            ,0.00                          ,0.00                              ,"1,000.00                  ","5,500.00            ",349.0,27.0,96.0,93.0,35.0,176.0,2.0,11.0,140.0,215.0,40.0,39.0,20.0,5.0,7.0,331.0,46.0,0.0,0.0,374.0,323.0,244.0,75.0,47.0,16443.0,12S,Tahosa                                       
G      ,2848,2020,61,1,12/18/2020 ,12/18/2020    ,6,None            ,0.00                          ,0.00                              ,"1,000.00                  ","12,000.00           ",261.0,34.0,94.0,79.0,33.0,159.0,4.0,13.0,126.0,94.0,25.0,40.0,20.0,7.0,7.0,247.0,40.0,0.0,0.0,187.0,66.0,0.0,66.0,0.0,2884.0,12S,Tahosa                                       
G      ,3730,2023,61,1,12/30/2023 ,12/29/2023    ,14,Thriving        ,0.00                          ,0.00                              ,"1,000.00                  ",0.00                  ,265.0,36.0,91.0,88.0,31.0,175.0,4.0,11.0,135.0,155.0,29.0,50.0,13.0,8.0,7.0,222.0,44.0,0.0,0.0,189.0,154.0,69.0,85.0,30.0,13740.0,12S,Tahosa                                       
G      ,3459,2022,61,1,12/29/2022 ,12/28/2022    ,13,None            ,0.00                          ,0.00                              ,"2,000.00                  ",0.00                  ,261.0,42.0,85.0,76.0,32.0,156.0,5.0,12.0,121.0,159.0,13.0,30.0,20.0,8.0,7.0,242.0,24.0,52.0,13.0,194.0,107.0,29.0,79.0,8.0,8000.0,12S,Tahosa                                       
