Region,CharterApplicationId,Year,CouncilNumber,SequenceNumber,Timestamp,DateSubmitted,PmpOverallPoints,PmpOverallLevel,Item8CapitalContributionsCash,Item8CapitalContributionsMaterial,Item8EndowmentContributions,Item8FosContributions,LevelOrdealYouthFinal,LevelOrdealYoungAdultFinal,LevelOrdealAdultFinal,LevelBrotherhoodYouthFinal,LevelBrotherhoodYoungAdultFinal,LevelBrotherhoodAdultFinal,LevelVigilYouthFinal,LevelVigilYoungAdultFinal,LevelVigilAdultFinal,InductedOrdealYouthFinal,InductedOrdealAdultFinal,InductedBrotherhoodYouthFinal,InductedBrotherhoodAdultFinal,InductedVigilYouthFinal,InductedVigilAdultFinal,ElectedCurrentYouthFinal,ElectedCurrentAdultFinal,ElectedPreviousYouthFinal,ElectedPreviousAdultFinal,UnitCountFinal,Item1ElectionsConducted,Item1ElectionsNoEligibleScouts,Item1VisitsConducted,Item3ActivatedYouth,Item9ServiceHours,Section,CouncilName
G      ,3691,2023,104,1,12/27/2023 ,12/26/2023    ,21,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"2,597.00            ",100.0,13.0,24.0,64.0,12.0,52.0,0.0,1.0,25.0,92.0,11.0,57.0,24.0,0.0,0.0,114.0,13.0,0.0,0.0,76.0,76.0,44.0,32.0,11.0,1500.0,19,Na Mokupuni O Lawelawe                       
G      ,2633,2019,104,1,12/25/2019 ,12/24/2019    ,12,None            ,0.00                          ,500.00                            ,0.00                        ,"1,500.00            ",90.0,11.0,28.0,41.0,9.0,53.0,2.0,4.0,35.0,45.0,11.0,19.0,6.0,5.0,3.0,88.0,14.0,0.0,0.0,223.0,26.0,0.0,26.0,2.0,318.0,19,Na Mokupuni O Lawelawe                       
G      ,3009,2020,104,1,1/8/2021   ,1/7/2021      ,6,None            ,0.00                          ,0.00                              ,0.00                        ,"2,000.00            ",59.0,6.0,18.0,21.0,10.0,25.0,2.0,3.0,32.0,14.0,3.0,0.0,0.0,3.0,3.0,26.0,4.0,0.0,0.0,77.0,0.0,0.0,0.0,1.0,0.0,19,Na Mokupuni O Lawelawe                       
G      ,3349,2022,104,1,12/16/2022 ,12/15/2022    ,14,Thriving        ,0.00                          ,0.00                              ,0.00                        ,"3,600.00            ",73.0,6.0,23.0,7.0,5.0,18.0,0.0,1.0,21.0,62.0,13.0,6.0,2.0,0.0,0.0,87.0,14.0,0.0,0.0,71.0,24.0,1.0,24.0,19.0,512.0,19,Na Mokupuni O Lawelawe                       
G      ,3261,2021,104,1,1/7/2022   ,1/7/2022      ,3,None            ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,31.0,3.0,12.0,8.0,7.0,16.0,0.0,1.0,26.0,14.0,2.0,0.0,0.0,0.0,0.0,28.0,1.0,17.0,1.0,85.0,8.0,0.0,8.0,0.0,0.0,19,Na Mokupuni O Lawelawe                       
G      ,3746,2023,803,1,12/31/2023 ,12/30/2023    ,22,High Performing ,"1,000.00                    ",0.00                              ,"1,000.00                  ","8,000.00            ",79.0,9.0,33.0,75.0,32.0,72.0,3.0,3.0,49.0,74.0,21.0,25.0,10.0,6.0,5.0,90.0,25.0,0.0,0.0,83.0,82.0,53.0,29.0,48.0,4918.0,19,Achpateuny                                   
G      ,2881,2020,803,1,12/21/2020 ,12/20/2020    ,22,High Performing ,0.00                          ,0.00                              ,0.00                        ,"4,000.00            ",108.0,13.0,36.0,76.0,22.0,67.0,1.0,4.0,47.0,72.0,19.0,27.0,11.0,1.0,0.0,92.0,24.0,0.0,0.0,65.0,71.0,39.0,71.0,57.0,696.0,19,Achpateuny                                   
G      ,2549,2019,803,1,12/16/2019 ,12/15/2019    ,24,High Performing ,0.00                          ,0.00                              ,0.00                        ,"4,000.00            ",84.0,10.0,38.0,87.0,21.0,81.0,0.0,5.0,46.0,76.0,26.0,55.0,19.0,4.0,1.0,77.0,29.0,0.0,0.0,74.0,74.0,43.0,74.0,43.0,1694.0,19,Achpateuny                                   
G      ,3117,2021,803,1,12/16/2021 ,12/15/2021    ,24,High Performing ,0.00                          ,0.00                              ,0.00                        ,"4,000.00            ",105.0,13.0,34.0,111.0,31.0,88.0,3.0,6.0,50.0,92.0,29.0,71.0,27.0,5.0,4.0,95.0,32.0,0.0,0.0,72.0,71.0,30.0,42.0,21.0,1200.0,19,Achpateuny                                   
G      ,3356,2022,803,1,12/16/2022 ,12/15/2022    ,25,High Performing ,"5,000.00                    ",0.00                              ,"10,000.00                 ","4,000.00            ",67.0,12.0,30.0,94.0,40.0,90.0,0.0,11.0,46.0,51.0,22.0,40.0,22.0,6.0,2.0,55.0,21.0,0.0,0.0,75.0,81.0,63.0,18.0,34.0,1646.0,19,Achpateuny                                   
