Region ,CharterApplicationId ,Year ,CouncilNumber ,SequenceNumber ,Timestamp  ,DateSubmitted ,PmpOverallPoints ,PmpOverallLevel ,LevelOrdeal2020YouthFinal ,LevelOrdeal2020YoungAdultFinal ,LevelOrdeal2020AdultFinal ,LevelBrotherhood2020YouthFinal ,LevelBrotherhood2020YoungAdultFinal ,LevelBrotherhood2020AdultFinal ,LevelVigil2020YouthFinal ,LevelVigil2020YoungAdultFinal ,LevelVigil2020AdultFinal ,InductedOrdeal2020YouthFinal ,InductedOrdeal2020AdultFinal ,InductedBrotherhood2020YouthFinal ,InductedBrotherhood2020AdultFinal ,InductedVigil2020YouthFinal ,InductedVigil2020AdultFinal ,ElectedCurrent2020YouthFinal ,ElectedCurrent2020AdultFinal ,ElectedPrevious2020YouthFinal ,ElectedPrevious2020AdultFinal ,UnitCount2020Final ,Item1ElectionsConducted2020 ,Item1ElectionsNoEligibleScouts2020 ,Item1VisitsConducted2020 ,Item3ActivatedYouth2020 ,Item8CapitalContributionsCash ,Item8CapitalContributionsMaterial ,Item8EndowmentContributions ,Item8FosContributions ,Item9ServiceHours2020
G      ,                2757 ,2020 ,          469 ,             1 ,11/21/2020 ,11/20/2020    ,              19 ,Thriving        ,                       32 ,                             4 ,                       13 ,                            30 ,                                  6 ,                            31 ,                       1 ,                            2 ,                      42 ,                          10 ,                           3 ,                                0 ,                                0 ,                          0 ,                          0 ,                           9 ,                           2 ,                            0 ,                            0 ,                26 ,                         18 ,                                 4 ,                      12 ,                      9 ,0.00                          ,500.00                            ,"1,000.00"                  ,0.00                  ,                 1672
G      ,                2760 ,2020 ,           60 ,             1 ,12/1/2020  ,11/30/2020    ,               3 ,None            ,                      108 ,                            11 ,                       23 ,                            36 ,                                 16 ,                            74 ,                       3 ,                            6 ,                      45 ,                          31 ,                           7 ,                                6 ,                                3 ,                          2 ,                          2 ,                          74 ,                          11 ,                           27 ,                            0 ,                66 ,                         29 ,                                 7 ,                      22 ,                     13 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                  373
G      ,                2762 ,2020 ,          627 ,             1 ,12/1/2020  ,12/1/2020     ,              16 ,Thriving        ,                      121 ,                            12 ,                       45 ,                            94 ,                                 35 ,                            97 ,                       6 ,                            7 ,                      91 ,                          65 ,                          10 ,                               24 ,                                5 ,                          7 ,                          3 ,                          75 ,                          14 ,                            0 ,                            0 ,                72 ,                         51 ,                                19 ,                      51 ,                     57 ,600.00                        ,"2,000.00"                        ,"1,000.00"                  ,0.00                  ,                 2800
G      ,                2763 ,2020 ,           62 ,             1 ,12/2/2020  ,12/2/2020     ,               6 ,None            ,                       63 ,                             3 ,                       24 ,                             7 ,                                 12 ,                            28 ,                       1 ,                            2 ,                      49 ,                          23 ,                           5 ,                                0 ,                                0 ,                          2 ,                          2 ,                         101 ,                          18 ,                            0 ,                            0 ,               103 ,                         32 ,                                 0 ,                      32 ,                      0 ,"1,250.00"                    ,0.00                              ,"2,000.00"                  ,0.00                  ,                   78
G      ,                2765 ,2020 ,          488 ,             1 ,12/2/2020  ,12/2/2020     ,              15 ,Thriving        ,                      160 ,                            51 ,                       58 ,                            62 ,                                 23 ,                           154 ,                       3 ,                           15 ,                     117 ,                          63 ,                           9 ,                               14 ,                               12 ,                          5 ,                          6 ,                         104 ,                          17 ,                            0 ,                            0 ,                89 ,                         89 ,                                10 ,                      89 ,                     63 ,0.00                          ,0.00                              ,"2,000.00"                  ,"4,000.00"            ,                 2561
G      ,                2769 ,2020 ,           10 ,             1 ,12/4/2020  ,12/3/2020     ,              14 ,Thriving        ,                      308 ,                            55 ,                       98 ,                           107 ,                                 39 ,                           168 ,                       2 ,                           20 ,                     193 ,                         134 ,                          21 ,                               48 ,                               21 ,                          6 ,                          6 ,                         147 ,                          31 ,                            0 ,                            0 ,               182 ,                         48 ,                                 0 ,                      48 ,                    102 ,"56,000.00"                   ,0.00                              ,"100,000.00"                ,0.00                  ,                 4584
G      ,                2772 ,2020 ,          329 ,             1 ,12/7/2020  ,12/6/2020     ,              16 ,Thriving        ,                       34 ,                             2 ,                       12 ,                            19 ,                                  6 ,                            21 ,                       1 ,                            3 ,                      23 ,                          33 ,                           5 ,                                6 ,                                1 ,                          1 ,                          1 ,                          65 ,                           6 ,                            0 ,                            0 ,                59 ,                         25 ,                                 0 ,                      39 ,                     20 ,0.00                          ,0.00                              ,"2,000.00"                  ,"1,400.00"            ,                  482
G      ,                2775 ,2020 ,          107 ,             1 ,12/8/2020  ,12/7/2020     ,              12 ,None            ,                       28 ,                             0 ,                        9 ,                            23 ,                                  2 ,                            11 ,                       1 ,                            3 ,                      20 ,                          23 ,                           5 ,                               13 ,                                4 ,                          2 ,                          2 ,                          36 ,                           5 ,                           52 ,                            1 ,                53 ,                         18 ,                                 0 ,                      20 ,                     21 ,0.00                          ,0.00                              ,0.00                        ,0.00                  ,                  182
G      ,                2777 ,2020 ,           30 ,             1 ,12/10/2020 ,12/9/2020     ,              14 ,Thriving        ,                       28 ,                             2 ,                        9 ,                            10 ,                                  5 ,                            16 ,                       0 ,                            2 ,                      15 ,                          21 ,                           2 ,                                5 ,                                2 ,                          1 ,                          1 ,                          34 ,                           3 ,                            0 ,                            0 ,                27 ,                         23 ,                                 4 ,                      19 ,                     10 ,300.00                        ,0.00                              ,400.00                      ,300.00                ,                 1014
G      ,                2780 ,2020 ,          571 ,             1 ,12/10/2020 ,12/9/2020     ,              17 ,Thriving        ,                     1021 ,                           143 ,                      265 ,                           519 ,                                238 ,                           714 ,                       7 ,                           34 ,                     291 ,                         445 ,                          96 ,                              153 ,                               82 ,                         16 ,                         17 ,                         707 ,                         135 ,                          297 ,                           61 ,               394 ,                        308 ,                               150 ,                     246 ,                     96 ,"15,000.00"                   ,"5,000.00"                        ,"1,000.00"                  ,"16,160.00"           ,                51185
